"word","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
"locale","0.5774616","0.13745934","-0.5330497","0.6867274","-0.018056767","0.18757915","0.70814013","1.3899326","0.2618227","-1.3541924","1.3620929","0.29329467","1.1404443","1.1083338","-0.6398619","1.7314845","-0.3496818","0.40806657","1.1592356","1.0763593","0.79322743","-0.5915437","-0.045159042","0.4146938","-0.9831063","-0.3734373","1.9263313","-0.8164603","-0.30601445","-1.7883053","-0.71666646","0.44853628","0.5524333","0.66588205","-0.969106","-1.4297141","1.0063654","-0.43149796","-0.40321317","-0.6641885","-1.6664813","0.7126016","-0.27334714","-0.3182693","0.7270872","1.4756616","-1.4094058","-2.461516","-0.99714124","0.5048485","-1.6049507","0.2825241","0.0057864096","-0.115310736","-1.6798823","1.1364043","-0.5069923","1.5202074","0.8250253","-0.6056821","-0.12278938","0.80120546","0.90851766","-0.3378753","-0.93218225","-0.7583998","0.23674156","1.5110643","-1.020458","1.1690422","-0.5300896","-1.2592007","1.3997463","0.17019336","-1.3311126","1.4485433","-0.010938223","0.86223125","-1.0334247","0.8024606","1.2688495","1.682466","0.54367524","0.84086406","0.93431956","-0.37869117","-0.5708847","-0.21554172","-0.23113531","-0.3875629","1.3833416","-0.99128467","-0.5972997","-1.6140773","0.73149186","-0.67150414","-0.9217048","-0.2012807","1.6230226","-0.19486098"
"pizza","-0.67597896","-0.14086238","1.6744821","-0.3142214","-2.7043285","0.95248437","-0.23025484","-1.7675993","0.1199396","-3.2222087","0.79900086","0.3542122","-0.8149869","0.76730084","0.40600333","-0.36927798","1.0471251","-0.5360042","0.3582975","-0.36365193","0.7560677","1.9783187","-1.6806517","1.1599449","-1.2452646","-0.17748904","-0.8809241","-2.4848595","-1.107482","-0.15840706","-0.011604325","-2.6555707","1.8282487","2.8750842","-0.7690961","-1.3104306","1.1160526","-1.7001294","3.1190348","1.6600198","-1.5105264","-0.42993653","-1.8228163","1.6063696","1.1577406","-3.3522213","-0.16406144","-0.18613409","0.6216381","-0.56564146","-0.33746397","1.6195561","-0.18653902","0.2374315","1.3062907","1.4454706","-1.5683019","1.4174315","0.21034187","0.8221159","-1.0326695","-1.8593137","0.37893936","-0.36354065","0.109499805","1.0695789","2.3488739","-2.9795642","-0.517682","-2.2378974","-0.8498852","1.0763364","3.4912508","-0.6224511","-1.4406486","2.1964927","1.9265271","-0.56609863","-0.3971377","-2.1902287","1.6284809","-2.157602","0.07697873","0.5199749","0.003589237","-0.44701084","-1.239041","-0.40518847","0.34338242","1.1100452","0.8995998","1.4593924","-0.27986482","-1.3257428","1.6819497","-1.018425","1.9995912","-0.5978478","-0.77957565","1.2932532"
"qualit√","0.08971472","-1.6409386","0.9729959","0.005885667","0.14917302","-1.3672048","2.000182","0.9260756","0.5712987","-1.4042407","-0.5971409","2.309276","-0.74548995","0.6124222","0.2306859","-1.1991904","0.27961415","-0.96503204","-0.60636574","-0.26182714","0.44800717","-0.3610718","0.41992486","-0.28930688","1.1633579","-0.7713082","-0.9530788","-1.0238538","0.39246854","1.1470681","-2.1725788","-0.72662526","-0.67905724","-0.8221895","-0.25470793","0.20724231","-1.1727381","-0.5727151","-0.037647385","1.0957816","1.5470968","-0.19412602","-0.32952926","1.022775","-2.0672214","0.08136434","-0.4975247","0.64912933","0.33862436","-1.4326155","-0.5919314","-0.28381354","-0.11972293","0.66250265","-1.9073896","0.5961588","0.35835534","-1.0788625","-0.81401265","1.0727268","0.058483616","-0.37749353","-0.9674101","0.5089839","0.47233534","-1.115986","0.47653154","-1.5933415","2.290843","-0.88106924","-2.11027","-0.1130699","-0.13019527","-1.2844932","-0.27233806","-0.078676626","1.6504219","2.075764","0.37762395","0.01645259","0.7171639","-2.0992625","-0.53007615","1.1593316","-1.9309375","-3.1093354","1.0811274","-0.6970839","-1.8192157","1.0265064","-0.9164543","0.29400256","-0.67027205","1.3522297","-0.807219","-1.6752509","-1.2203318","-1.5469909","-0.9628861","1.9107094"
"servizio","-0.0529335","0.90193677","-0.38280398","1.2563076","-0.7843416","0.080806695","-0.24250366","-1.1396625","-0.39769313","-0.88178164","-0.40221247","1.941636","-1.3177866","1.046475","-0.95284003","0.38178208","-1.1279211","-0.5712294","-0.073504485","2.7630587","2.602566","-0.97597444","-0.99919546","0.7839799","1.3907177","0.7873898","1.6024379","0.23494636","1.6947103","1.9986006","-1.1962137","0.5439088","-1.6068388","-1.2873034","2.4642396","-0.28490362","-1.4488096","-1.7018214","-0.4307534","-1.517955","1.0407225","-0.82516974","0.91392744","1.1872091","1.4785122","-0.9734378","0.8842187","-1.3140823","0.23978345","0.07033965","-2.0410573","1.8449725","-0.08386973","-0.51510316","-1.900261","0.625442","-0.867692","0.19831836","1.6553789","0.76023847","-1.4116117","0.2818676","-0.04236492","-2.019655","0.14924999","-1.8156766","1.329762","0.6952215","-1.0183293","-0.7833073","-0.51832694","1.314593","0.54329246","-2.3502212","0.31153193","-0.72033775","0.8060446","-0.30881274","1.4621965","1.0180215","-0.6158293","-0.11751009","1.327118","2.6255171","-0.62287337","0.051156633","-1.4970204","-0.76483893","-0.55597866","0.6541929","0.59269774","-0.23014487","0.79033935","0.10697675","-1.008438","0.47302127","1.0273749","-0.5587509","-1.4578089","0.14606361"
"personale","-1.1178592","1.8281621","-1.0702357","0.34132448","-1.7544594","-0.3743714","0.8568949","0.72162306","0.35632572","0.59169185","-0.6953697","1.9377567","-2.3414574","1.5131041","-0.4853533","-0.37007424","-2.4212418","-1.8773589","0.7175481","2.3201406","1.4850268","-1.5546521","1.0049298","-0.04611277","-0.27216524","0.041655473","0.5741866","-2.0572963","1.0667028","-1.8490843","-0.9314616","-0.78865325","0.8058967","0.89065725","-0.3151995","2.2343714","-0.324245","-0.031993747","-1.1021906","-0.24687134","1.9365699","1.0386678","0.61191946","-2.3910093","-0.9123187","-1.8060807","2.5140624","-2.2364101","-3.9006243","0.45161673","-0.24324419","2.8250835","0.33652586","-0.5190188","-1.3831587","1.695792","-2.0988615","0.6641039","1.4766451","-0.31727865","0.3802588","1.2466197","1.8054034","-3.3536866","-1.2271181","0.6529728","1.2880361","1.7606602","-0.9739984","0.20919204","-2.5656898","-1.0053134","1.1371933","-3.1177468","2.1135342","1.1242219","-0.29906172","-1.0800139","1.4423159","2.2963986","1.535409","-1.9667037","3.875815","1.993801","-0.17578815","-1.4478222","-1.9065213","-0.9983028","-0.88343847","-0.5017436","0.06867997","0.45380935","-0.1287346","2.0842245","0.7036817","1.7708755","1.7575547","-0.071108945","0.11319632","0.24088146"
"piatti","0.044912606","0.56987256","-0.9006933","0.41686466","0.7996592","-2.1806235","1.2112674","0.93138105","0.10557737","0.061553027","1.8071271","-1.078706","-1.4232028","-0.21928851","0.39847723","1.6684835","-0.09203448","-1.5681626","-1.5288136","0.6904416","1.3507034","-2.2805924","-0.42381158","0.49183628","0.44318798","1.6284057","-0.3740329","-1.01369","-0.24048832","-0.35912272","-1.2117728","-0.39743865","-1.0533104","-0.3038074","-1.6000748","-1.8431886","-2.0009613","-0.35280225","-1.8825489","-0.5105802","-0.31731883","0.63674325","0.111988105","-1.4278215","-0.89184743","1.4719305","0.71022016","-0.59412795","-1.8953917","-0.3464969","0.4353311","0.07148509","-0.38891897","0.165036","0.002487811","-0.3123062","-0.17352732","-0.46569404","0.46894023","0.5856556","-1.090624","1.4573622","0.09738943","0.8011337","-0.92023355","-1.7696669","-0.72031283","0.5764997","0.96723324","0.18001677","0.30121723","0.0044718306","-1.8138484","-0.2834531","0.75026226","-0.66590184","0.76150155","3.6785593","-0.6349709","2.7730527","-0.032218896","1.205094","-0.5278811","0.0027144898","-1.057872","0.63761115","0.49352935","1.2647077","0.0032165172","-0.9352561","-0.27803618","-1.2781701","-0.16952524","0.53612494","-3.4670818","0.32394883","-3.0034409","0.3284739","0.0621381","-1.7179314"
"ristorante","-0.17069156","-0.00084394374","-0.22363272","0.4213329","0.43551716","0.23976803","1.9081736","-0.47660905","0.8213111","-0.3206776","-0.16416089","0.14765985","-0.03196002","0.4627892","-1.3972676","0.7820337","0.9848777","-0.72265166","0.68833303","1.1467034","1.5744113","0.14846133","-0.69774616","0.11480732","0.60882956","0.07732418","1.3990141","-0.8890961","0.85950047","0.3636855","-1.821087","-1.074616","0.84431154","0.074667245","-0.097486764","-1.5018013","0.5091604","0.48736805","0.05820165","-1.4335128","-0.8441818","0.73827875","0.5584625","0.14398171","0.39905834","1.6511492","-1.2974083","-0.19739115","-1.5226716","0.1243671","-0.45044056","-0.25477317","-1.0888109","0.15165588","-0.38565347","2.2012956","0.3615409","0.49880144","0.22336826","0.89352703","-1.3876835","0.10025277","0.62088406","1.5156102","-1.0404513","-0.5284457","-0.5231361","0.9451664","-0.3145184","1.2084361","-0.45197085","-0.7745938","-0.8011538","-0.40055147","-1.1572074","1.1038826","0.6128292","1.0737339","-1.7522622","0.4681298","0.9546113","2.0885963","-0.27764148","0.2427975","-0.24392106","-1.1727495","0.20148967","1.3642431","-1.0553135","-0.20622328","0.4676782","0.9263406","0.4910556","-1.6192032","0.57025903","0.27587184","-2.2604446","0.24800324","0.61467254","-1.2087739"
"sempre","-1.1242026","-0.6188992","-0.6469443","1.3716832","-1.1857427","-0.7441817","1.1612504","2.3973913","0.6875769","-1.4953063","-0.48648816","0.8616905","-0.017972339","-0.536516","-1.0610772","0.5161662","-0.5452369","-0.16231513","-0.38901097","-0.7425471","0.46332836","-0.69219863","0.37318292","-1.0655779","0.2227917","1.2250807","0.10752345","-0.9037873","-2.1513636","0.59576035","-0.8527657","0.42451105","-0.25822207","0.9759311","-0.6290331","-0.69225264","0.13433944","-1.4073623","-1.1801177","-1.1048942","-0.10888633","0.82046944","-1.9508084","-0.20870052","-1.4486765","-1.0983338","0.17678626","-0.07656582","1.2485291","-0.75172275","0.415026","0.027939264","0.68846303","0.6871939","-0.5586321","-0.88315105","-0.08567566","0.13689253","0.7643024","0.81247103","0.56388515","-0.21964236","-0.006521533","-1.1177844","-0.44395065","-0.30586243","0.123156354","1.0220976","-0.19367313","-0.33288103","0.42596716","-0.77288216","0.34009302","-0.23510483","0.6404233","-0.2052268","0.9775913","1.0452954","0.80736995","2.1938882","0.539794","-0.7289606","0.7067845","1.506237","-1.0531157","-0.9830667","0.86728","-0.079823904","-0.6233984","-1.4162014","2.8290431","0.03288986","-0.7166836","-1.5500282","-0.40612015","-0.77195585","-0.5150695","1.9265784","1.4912666","0.40960383"
"posto","0.29517317","-0.6735429","-0.5034707","-0.3931558","-0.35905465","0.8100375","0.51960224","0.48142862","-0.41528004","-0.85027665","-0.11551542","-1.0101115","1.3718718","0.3548871","-1.0521677","0.4276945","-0.55356497","0.5502025","1.7351819","0.18574113","0.3058292","0.14470166","-0.6262732","-0.38253787","-0.27546358","0.86221504","1.2249441","0.5494159","-0.23587954","-1.340029","0.038073905","0.37743846","0.36357677","0.43066096","-0.6971639","-0.93936074","1.192975","0.9611387","-0.29882812","-0.34864882","-0.6947348","-0.31224322","0.5661013","0.5360814","-0.18215773","1.5257033","-1.2814966","-0.58377266","0.24908397","0.069147915","-1.0129585","-0.85432774","0.01580402","-0.41362488","-0.81025004","0.66670084","0.5034904","-0.21845587","0.40128106","-0.6066905","0.7488673","0.9864493","0.2864452","-1.2528788","-0.6158909","0.016067168","-0.47093233","1.2511863","-0.4925515","1.5048134","0.3006486","-0.6679489","0.19895925","-0.71670556","-1.4294466","1.0787151","0.10170105","-1.6475784","-0.12655179","1.0896281","0.51234066","0.22909625","-0.1648016","-0.74022275","1.816167","-0.09003879","-0.9390383","0.18250093","0.011495905","-0.4347652","1.4812593","0.39399394","-1.2672826","-0.88351876","1.1800766","0.1585808","-0.092618994","0.20173566","1.0590177","0.09203123"
"buona","0.25095832","-1.2669824","-0.24844156","-0.990196","-1.2541147","0.5185552","-0.09374959","0.326516","-0.20121846","-1.1994705","1.4868191","-0.17846699","-1.1347673","-0.053640068","-1.1225808","-0.94054645","-0.61224145","-0.98764855","-0.61865914","0.67676896","0.1331703","0.14108008","0.08299952","-0.23874547","0.040438924","1.4171758","-1.0123194","0.357612","-0.103403084","0.71780586","-0.33741197","-0.4574613","-0.39205438","0.96656233","0.7566044","-0.91113365","-0.62143904","0.83071464","1.995738","0.95902205","0.68128675","0.18298784","0.709263","0.8859816","0.29207596","0.08445474","0.39169377","-0.66047925","1.2889092","1.8810463","-1.4326135","0.13171577","0.92610586","0.33336458","0.037131492","0.6360207","-1.5488696","0.4114476","-0.69630754","0.27769092","-0.9801093","-0.4426605","0.29310465","-0.18716885","-0.01716071","-1.6763375","1.3518836","-0.7020462","-0.453464","-0.5649757","0.08260536","1.1612003","1.7820364","2.2211587","-0.30253258","0.41590574","0.05764103","-1.0385011","0.17577146","-1.3643533","0.7870678","-0.30030972","0.82578754","0.37416685","-0.9808757","-0.55133975","-0.8868487","-1.3037453","1.2265238","-0.32345065","-0.00015198029","0.005774482","-0.03709956","-0.99067974","0.92475784","-0.3228506","0.14714374","0.11498068","-0.342118","-1.0091015"
