"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Una grande famiglia ","Filippo è una pizzetteria storica a Cesena sono una famiglia meravigliosa sempre attenti gentili e puntuali , la pizza è buona e di qualità ! Torniamo sempre perché ci piaci "
"ui_bubble_rating bubble_50","Pizza al taglio ottima","si sente che le materie prime sono di buona qualità pizzette ottime. anche per i bimbi.Cortesia e puntualità, molto bene, locale molto pulito."
"ui_bubble_rating bubble_50","Top","Cordialità e disponibilità non mancano! Ma quello che fa la differenza è la qualità dei prodotti! Pizzette buonissime e molto condite!! Consigliatissimo"
"ui_bubble_rating bubble_50","Pizza al taglio migliore di cesena","Provare per credere. La migliore pizza al taglio di cesena. Tanti gusti, morbida e croccante. Cordiali, se ne dovete portare a casa specie il sabato e la domenica conviene prenotare prima"
"ui_bubble_rating bubble_50","Adoro","Mangio spesso la pizza al taglio in questo posto essendo vicino a casa mia! Non mi ha mai deluso, ottima pizza e personale molto gentile! Consigliato "
"ui_bubble_rating bubble_50","Una garanzia ","Una pizza eccezionale ottima e strepitosa ed economica. Titolari simpatici e alla mano... continuate così <U+270C><U+270C>"
"ui_bubble_rating bubble_50","La pizza al taglio semplicemente perfetta","Nella zona di San Mauro in Valle troviamo questa pizzeria al quadretto. Pizza molto buona e con ampia scelta di gusti (alcuni dei quali anche molto originali). Per chi volesse il locale dispone anche di qualche tavolino per gustare in loco la pizza. Prezzi molto onesti. Provare per credere! Non rimarrete delusi!"
"ui_bubble_rating bubble_50","Ottime pizze","Le pizzette di Flip sono le migliori di Cesena!!!Prezzi giusti e ottima qualità! Molta scelta.. I miei bambini le adorano! Buonissima quella rossa solo pomodoro. Anche riscaldata fa molta riuscita. Loro sono molto cortesi e puntuali"
"ui_bubble_rating bubble_50","Pizzette ottime ed economiche!","Ottima pizzeria al taglio, le pizzette sono molto varie e gustose, il servizio ottimo ed il prezzo molto buono! Bravi!"
"ui_bubble_rating bubble_50","Pizzette al taglio di qualità ","Ottimo rapporto qualità prezzo. pizzette al taglio da asporto dai prezzi contenuti con prodotti di qualità. Locale sempre pieno. Il passaparola a Cesena funziona anche senza le recensioni!!! Complimenti "
"ui_bubble_rating bubble_50","Pizza di qualità al giusto prezzo","Tra tutte le pizzerie di Cesena questa è la mia preferita sia per la qualità dei prodotti, che si può apprezzare anche in gusti semplici come pomodoro o margherita, sia per la cortesia e la velocità del personale.Pizza mediamente sottile, croccante e con tantissimi gusti tra cui scegliere: la mia preferita è olive verdi e pancetta. Strepitosa!!Prezzo onesto, se faccio la pizza a casa spendo poco di meno (e non è buona come quella di Angelo e Filippo)."
"ui_bubble_rating bubble_40","Buonissima","Pizzeria a conduzione famigliare, presente da tanti anni a Cesena. Da alcuni anni è a San Mauro in Valle. E' tra le poche che ha mantenuto i prezzi contenuti, infatti è la meno cara (secondo la mia eserienza). Buona la pizza al taglio, io adoro la margherita. Consigliata!"
