"name","Cucina","Servizio","QualitaPrezzo","Atmosfera","Means"
"1","LaCorteDeiMiracoli",43,42,44,44,43.25
"2","HostariaDietroLeQuinte",42,41,43,43,42.25
"3","LaRotonda",42,41,42,44,42.25
"4","TrePeriodico",43,41,42,43,42.25
"5","Mare-Marecucinadipesce",42,41,43,42,42
"6","SettimoCielo",42,41,42,42,41.75
"7","JackRabbit-BrewpubIndipendente",43,40,41,42,41.5
"8","RistoranteChichibio",41,40,42,43,41.5
"9","GattoMatto",41,40,42,42,41.25
"10","PecapìFood_Lab",41,40,42,42,41.25
"11","CalicediStelle",41,39,42,42,41
"12","L'isola",41,39,42,41,40.75
"13","MagoMerlino",41,39,41,42,40.75
"14","OttocentoOpificio",41,39,40,43,40.75
"15","LaRincrocca",41,39,41,41,40.5
"16","RistoranteAsiaDiLiHuiying",40,39,41,42,40.5
"17","OsteriaISpiazzi",41,39,40,41,40.25
"18","RossointensoCucinaEnotecaDegusteria",39,40,40,42,40.25
"19","Testone",39,39,42,41,40.25
"20","TrattoriaAntonietta",40,39,40,42,40.25
"21","HostariaSantaLucia",41,38,40,41,40
"22","Mezzometro",40,38,40,42,40
"23","LaCoppetella",40,38,40,41,39.75
"24","RistoranteOriente",40,38,41,40,39.75
"25","TabanoRistorante",40,38,40,41,39.75
"26","Sciuscià",39,38,40,41,39.5
"27","IlBucatino",40,37,39,41,39.25
"28","TrattoriadellaFortuna",39,37,39,41,39
"29","AmericaGraffitiDinerRestaurantJesi",38,37,39,41,38.75
"30","L'OsteriadelCiliegio",39,37,37,40,38.25
"31","PerbaccoRistorante",38,36,39,40,38.25
"32","PoldoBurgerBar",37,36,38,40,37.75
"33","Pepito",34,32,35,36,34.25
