"Review"
"1","Ordinato per cinque Pizze alla salsiccia e capricciosa tirolese e pollo alla piastra sottile saporita molto buona la crema caffè Consigliatissima "
"2","Ottimo ,piadina buonissima,pizza buona è leggerissima (con lievito madre) pizza fritta,calzoni fritti,pranzo a buffet,che dire un locale perfetto per tutti "
"3","Una mia amica necessitava di una toilette e non avendo molti soldi abbiamo deciso di comprare delle caramelle al posto suo così che potesse andare in bagno. Le è stato negato dal proprietario Poiché non era stata lei stessa ad acquistare le caramelle mentre lui e gli altri ragazzi che lavoravano li la deridevano prendendola in giro. Comportamento ridicolo e scortese da parte del gestore e di tutti i baristi."
"4","Pizza molto buona, praticamente in centro di fronte all 'Arco Clementino, prima di fare una passeggiata per il corso o ritornando mi fermo spesso Aprendere la pizza"
"5","Conoscevo già il locale con la gestione precedente; ad oggi, col nuovo titolare, mi pare migliorato.Propongono vari piatti e pizza anche a pranzo, di qualità. Servizio gentile e attento, prezzo onesto."
"6","Bar carino vicino all'arco Clementino, brioches e cappuccini ottimi e con prezzi nella media, molto professionale e disponibile la ragazza di servizio."
"7","Ristorantino all'arco Clementino nella media, adatto per le pause pranzo, anche se talvolta l'attesa è troppo lunga, soprattutto se la pausa è breve... pizza, primi, secondi e piadine molto nella media, fatti con ingredienti relativamente di qualità. Personale abbastanza gentile e locale curato. Lo consiglio soprattutto ai giovani..."
"8","buon riferimento per la pausa pranzo, buffet vario es. verdure grigliate parmigiana e carne con patate ecc. compreso di caffè 10 euro. Locale piccolo ma accogliente e pulito. "
"9","Ambiente piccolino ma confortevole,di nuova costruzione. Pulitissimo con personale alla mano e simpatico. Tagliere salumi e fornarina veramente ottimi. Consigliato!"
"10","Ora tarda, e molta fame; appena varcata la porta antica di Jesi è il primo ristopizza dove pizza e piadina di ottima qualità sono farcite di simpatia e risate. Se siete a Jesi, fermatevi!"
"11",""
"12",""
"13","Pizza non mangiabile.Servizio sufficiente. Locale apparentemente pulito.Personale collaborativo.Non lo consiglio."
"14","Locale piccolo e molto semplice piu' vicino ad una pizzeria al taglio con possibilità di consumazione in loco che ad un ristorante, però con personale molto gentile (a mio parere,aspetto decisamente importante) che aumenta il punteggio della valutazione. Antipasto discreto a base di formaggi ed affettati misti mentre veramente OTTIMA era la fornarina che lo accompagnava. La pizza buona e ben digeribile ed il prezzo decisamente interessante (offerta groupon)."
"15","Una breve sosta a pranzo,la posizione è buona,appena si entra nel centro storico,possibilità di parcheggio,nella media, per un brunch credo che sia ottimale,anche in pausa di lavoro...non male."
"16","Sono andato a cena con la mia compagna utilizzando un pacchetto Groupon. Il menù comprendeva antipasto, pizza e bibita. Antipasto abbondante ma di bassissima qualità con mortadella banco frigo del supermercato e qualche pezzettino di mozzarella, da salvare solo la semplice foccaccina che accompagnava il tutto. Pizza al piatto davvero inferiore alla media delle molte pizzerie della zona. Locale e servizio approssimativo. Avendo pagato il pacchetto Groupon non mi sono posto il problema del costo ma, buttando l'occhio sul listino, ho notato che i prezzi sono allineati con quelli di altri locali ben più rinomati e di qualità.. sicuramente molto meglio prenotare in altri posti per passare una soddisfacente serata a cena fuori! "
"17","Pizza discreta, locale così così...personale gentile.Buona la posizione centrale, però seza infamia e senza lode...."
"18","abbondanza e qualità per il prezzo pagato nonché la cordialità con la quale vieni accolto si consiglia"
"19",""
"20","pizza con la propria famiglia sicuramente buona serata con pizza e birra non fà mai male passare un' ora ."
"21",""
"22","locale non grande ma accogliente, giovanile e con un buona atmosfera, personale simpatico, cordiale e preparato.Servizio buono, pizza, forse troppo fina, tagliere e dolce buoni. "
"23",""
"24","La pizza è molto buona e il locale carino anche se piccolo. Menu con antipasto che prevede affettati e mozzarella."
"25",""
"26","Forse una delle peggiori pizze mai mangiate mozzarella inesistente e pezzi di salsiccia che si potevano vedere soli con la lente di ingrandimento sugli antipasti stendiamo un velo pietoso affettati presi da vaschette del supermercato accompagnati da scarti di focaccia abbrustoliti non rispettato il menu del coupon 2 calici da 0,2 invece di 0,5 di birra fatto anche pagare il caffe' che invece doveva essere compreso come scritto sul coupon sicuramente da evitare!!!!!"
"27",""
"28",""
"29",""
"30","abbiamo conosciuto questo locale con groupon ed è stata una bella sorpresa.Antipasto,pizza e dolce tutto molto buono. da riprovare"
"31",""
"32",""
"33","il personale è gentile ed efficiente la pizza ottima. siamo stati serviti bene e alla fine volevano offrirci anche amari e caffè non compresi."
