"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_40","Ciccio è una certezza","Fritto, arrosto, antipasto, stoccafisso, baccalà....ecc...ecc...sempre ottimi e cotti al punto giusto. "
"ui_bubble_rating bubble_50","Bella scoperta","Ideale per una sosta ristoro di qualità a base di pesce. Locale rustico prevalentemente adatto all'apporto. Rigorosamente su prenotazione. Provo paccheri allo scoglio e spiedino di pesce, che permettono di apprezzare al massimo la qualità della materia prima e la sapiente preparazione. Praticamente una tappa obbligata se si capita a Jesi."
"ui_bubble_rating bubble_50","Eccellente","Antipasti caldi e freddi ottimi e abbondanti. Grigliata ben cucinata e porzione molto generosa. Veramente eccellente considerando che è una rosticceria...Consigliatissimo "
"ui_bubble_rating bubble_50","LA GASTRONOMIA MIGLIORE CHE CI SIA!!!!!","Pesce ottimo dagli antipasti passando per i sughi, i primi di ogni tipo ,i fritti e gli arrosti....Tutto cucinato alla perfezione!!!!!"
"ui_bubble_rating bubble_40","Una certezza! ","Ciccio sa come cucinare il pesce! L'antipasto completo è ottimo, tante portate calde e fredde, oltre ai grandi classici anche accostamenti più particolari. La grigliata è davvero buona, gli spiedini di sciolgono in bocca, e il gratinato è buonissimo! Super consigliato per un pranzo della domenica in famiglia! "
"ui_bubble_rating bubble_50","Ottimo pesce","Sono stato spesso in questa gastronomia che prepara pesce , mi sono trovato sempre bene pesce sempre fresco di ottima qualità .Il proprietario è molto simpatico e gentile ed ottimo chef per i consigli ."
"ui_bubble_rating bubble_50","Una sorpresa eccellente","Assieme ad un collega ci siamo imbattuti per puro caso in questo locale. È stata una piacevolissima sorpresa. Il proprietario ci ha proposto una grigliata di pesce che si è rivelata eccellente. Pesce freschissimo cucinato con gusto.Anche i prezzi sono più che onesti."
"ui_bubble_rating bubble_50","ottimo pesce!!!","qualita', ottima cucina di pesce, carrellata di antipasti gustosissimi, per non parlare dei sughi e dei secondi!!"
"ui_bubble_rating bubble_50","Ciccio unico!!!!!","Vuoi andare sul sicuro, mangiare di qualità ed abbondante ? Vai da Ciccio, lui e il suo staff ( moglie e figli) ti sapranno consigliare. Risultato garantito, non sbaglia un colpo!!!!! Antipasti, sughi e secondi unici ( il fritto non si può perdere, U N I C O )."
"ui_bubble_rating bubble_50","Sempre e solo ciccio!","Perdetevi nel giro degli antipasti e fatevi travolgere dalla simpatia di ciccio e Anna che sono il vero cuore della gastronomia dove il gusto e l'abbondanza la fanno da padrona! "
"ui_bubble_rating bubble_50","A tutto pesceeee!!!","Magnifico locale a conduzione familiare dove l'onesta e la professionalità fanno da padrone.Lasciatevi consigliare dal mitico Chef Ciccio e non vi pentirete mai! Locale pulitissimo,prodotti freschissimi e preparati al momento con prezzi nella norma ma porzioni xxl. RACCOMANDATO VERAMENTE"
"ui_bubble_rating bubble_50","come lui non c'è nessuno","Il miglior pesce di tutta la regione, con una qualità di gran lunga superiore anche rispetto ai più famosi ristoranti locali! Prodotti freschissimi cucinati con maestria dal mitico Ciccio e da sua moglie Anna...10 e lode, assolutamente da provare!!!!!"
"ui_bubble_rating bubble_50","Ottimo e abbondante","Pesce di buona qualità, cucinato benissimo e decisamente abbondante.Ottima l'insalata di polipo e patate e l'arrosto di pesce senza spine.Simpatica accoglienza da parte del titolare Ciccio."
"ui_bubble_rating bubble_50","Numero 1","Se vuoi fare una bella cena di pesce in casa, questa è la miglior scelta che puoi fare!Dall'antipasto al secondo, tutto di ottima qualità e fattura. Ciccio e la moglie ti sanno anche consigliare cosa prendere!Sempre al top!Complimenti."
"ui_bubble_rating bubble_50","Dall antipasto al dolce che goduria ","Veramente soddisfatto da leccarsi i baffi pesce fresco e il polipo con le patate è qualcosa da extraterrestri ... Rapporto qualità prezzo ottimo "
"ui_bubble_rating bubble_50","La miglior grigliata di pesce","Ho ordinato da Ciccio 5 grigliate e 3 insalate di mare per 5 persone. Che dire... Bastavano anche per 7 persone, molto abbondante e pesce freschissimo, cannelli, code di rospo, cozze gratinate ecc. Qualità molta superiore di alcuni ristoranti di pesce rinomati!"
"ui_bubble_rating bubble_50","Buono!","Ci é stato consigliato da vari conoscenti, clienti da tempo, sempre molto soddisfatti. Cibo buono e porzioni abbondanti. Gentilissima la signora Anna"
"ui_bubble_rating bubble_50","sempre ottimo","Davide è una persona in gambissima ed ha fatto propria l'arte del cucinare pesce. In varie occasioni abbiamo ordinato la cena o i pranzi, da due a 30 persone da lui, e la qualità è stata sempre ottima, sia per uno spuntino frugale che per cene più elaborate."
"ui_bubble_rating bubble_50","LA GASTRONOMIA N° 1","Le fantasie del mare è una gastronomia di solo pesce che è gestita da un cuoco (vero artista) che si chiama Ciccio. Sicuramente il n° 1 del centro Italia, che oltre alle delizie da asporto è disponibile anche per catering o forme simili. E' difficile descrivere quanto sia in gamba e quanta passione metta nel suo lavoro, sicuramente il modo migliore per rendersene conto è di provare. Sono sicurissimo che sarà all'altezza di qualsiasi aspettativa."
