"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_10","Sconsigliato","Prezzo basso per una qualità di livello pessimo. Tanta buona volontà da parte dei ragazzi che lo gestiscono ma Poca esperienza nel trattare con i clienti. Locale chiuso dopo pochi mesi."
"ui_bubble_rating bubble_10","se il prezzo é basso come é la qualitá,","come da titolo, prezzo basso, qualitá bassa. va bene per palati inesperti. chi cerca qualcosa di piú del riempirsi la pancia, vada pure altrove. carne grassa, panino poco condito, formaggio industriale"
"ui_bubble_rating bubble_40","Qualità discreta a prezzi stracciati","Veramente una grande varietà di scelta a prezzi stracciatissimi: tutto a 2 €. Panini e patatine discreti, locale minimalissimo (ma del resto è una paninoteca) e personale gentile: promosso a pieni voti"
"ui_bubble_rating bubble_40","Prezzi imbattibili!","Posticino carino, unico nella zona. I ragazzi che gestiscono si danno da fare, molto aperti e simpatici. Le chiamate per prenotare i panini, non si sono mai fermate in mezzo ora che siamo stati nel locale.Quattro posti a sedere, una 40tina di opzioni tutte sfiziose a 2,5€!!!Abbiamo assaggiato gli hamburger: non male per il prezzo che paghi. Le patatine molto più buone di quelle dei locali specializzati.Al mio particolare gusto, ci dovrebbe essere un po d più salse sull'hamburguer per renderlo un pelo più umido..."
"ui_bubble_rating bubble_40","Sfiora le 5 stelle","Il menù tutto a due euro è spettacolare per il rapporto qualità prezzo ma soprattutto per il rapporto quantità prezzo. Davvero ottimo. Non raggiunge la perfezione proprio perché le pietanze non sono perfette anche se buonissime ma d'altronde per due euro va più che bene!"
"ui_bubble_rating bubble_50","Soddisfattissimi!","Cibo a prezzi davvero bassissimi, ma il cibo é molto buono, le fritture sono fantastiche, specie il pesce. Consiglio per una merenda rapida e a basso costo, oppure per ordinare del cibo a portar via, perché l'unica pecca del locale é non avere spazio per mangiare sul posto. Comunque consigliatissimo."
"ui_bubble_rating bubble_50","Cibo ottimo a prezzi matti!","Quella del tutto a 2 € è veramente un'idea fantastica.In più il cibo è buono e il servizio impeccabile."
"ui_bubble_rating bubble_50","Quanta abbondanza!!!","Nei pressi del centro storico di Jesi questo piccolo localino si sta facendo largo a piccoli passi per entrare nel cuore e soprattutto nella memoria degli abitanti di Jesi e non solo!!! Ottimi prodotti tra cui hamburger, panini, fritti, insalatone e tanto altro ad un prezzo veramente ottimo!! potete assaggiarli li e/o portare a casa per gustarli in tranquillità oppure passeggiando per le vie del corso... Tanta cortesia e ottimi prodotti vi aspettano... Da provare assolutamente!!! :)"
"ui_bubble_rating bubble_50","Fantastico cibo a prezzo bassissimo!","Questa meraviglia proprio al centro di Jesi, cibo alta qualità prezzi bassi e personale simpatico e cordiale! ANDATECI!"
"ui_bubble_rating bubble_50","Simpatia e gusto!","Cibo veramente ottimo, hamburger buonissimi e fritti eccellenti.. che dire.. non metterò più piede al McDonald's!! Inoltre ill personale è davvero simpatico, un bel posto per cenare spendendo pochissimo! Consiglio a tutti!"
"ui_bubble_rating bubble_50","Complimenti!","Grande gentilezza e cura nella preparazione! Da estendere il fritto di pesce a tutta la settimana!Consigliato. Siamo stati all'inaugurazione e altre volte successivamente. Sempre all'altezza e di grande simpatia. "
"ui_bubble_rating bubble_50","Eccelente","Locale pulito e accogliente in centro! Titolare molto gentilePrezzi ottimi e piadine e pizza favolosiLo consiglio veramente a tuttiSopratutto perché sono molto velociPrezzi mai visti! Ottimo! "
